SEXO	C 	L 	P 
F	98	81	38
F	103	84	38
F	103	86	42
F	105	86	42
F	109	88	44
F	123	92	50
F	123	90	46
F	133	99	51
F	133	102	51
F	133	102	51
F	134	100	48
F	136	102	49
F	138	98	54
F	138	95	51
F	141	105	53
F	147	108	57
F	149	107	55
F	153	107	56
F	155	115	63
F	155	117	60
F	158	115	62
F	159	118	63
F	162	124	61
F	177	132	67
M	93	74	37
M	94	78	35
M	95	80	35
M	100	84	39
M	102	85	38
M	106	80	37
M	104	83	39
M	106	83	36
M	107	82	38
M	112	89	40
M	113	88	40
M	110	86	40
M	116	90	40
M	117	90	41
M	117	91	40
M	119	93	41
M	120	89	40
M	120	93	44
M	121	95	42
M	125	93	45
M	127	96	45
M	128	95	45
M	131	95	46
M	130	106	47
